time,value
0.0,1.0177774980650389e-13
0.0010130000000000004,1.0177774980650389e-13
0.002037000000000001,1.0177774980650389e-13
0.0030610000000000017,-179.9051482195288
0.004085000000000002,-179.7345614299353
0.005109000000000002,-179.56046912074103
0.006133000000000003,-179.38615607868508
0.007157000000000004,-179.21182172872662
0.008181000000000004,-179.03747813462843
0.009205000000000005,-178.86312750555356
0.010229000000000005,-178.6887695870481
0.011253000000000006,-178.51440350881305
0.012253000000000007,-178.34411528174002
0.013253000000000008,-178.17381730371832
0.014253000000000009,-178.00350857693994
0.01525300000000001,-177.8331881019115
0.01625300000000001,-177.66285487837172
0.01725300000000001,-177.49250790575783
0.018253000000000012,-177.32214618344315
0.019253000000000013,-177.1517687108629
0.020253000000000014,-176.98137448758354
0.021253000000000015,-176.8109625133423
0.022253000000000016,-176.64053178807464
0.023253000000000017,-176.47008131193255
0.024253000000000018,-176.2996100853014
0.02525300000000002,-176.12911710881355
0.02625300000000002,-175.9586013833618
0.02725300000000002,-175.78806191011267
0.02825300000000002,-175.61749769051866
0.029253000000000022,-175.44690772633166
0.030253000000000023,-175.27629101961526
0.031253000000000024,-175.10564657275773
0.032253000000000025,-174.93497338848525
0.033253000000000026,-174.76427046987442
0.034253000000000026,-174.59353682036576
0.03525300000000003,-174.42277144377636
0.03625300000000003,-174.25197334431385
0.03725300000000003,-174.0811415265891
0.03825300000000003,-173.91027499562995
0.03925300000000003,-173.73937275689462
0.04025300000000003,-173.56843381628573
0.04125300000000003,-173.3974571801635
0.042253000000000034,-173.22644185536006
0.043253000000000034,-173.05538684919318
0.044253000000000035,-172.88429116948055
0.045253000000000036,-172.7131538245537
0.04625300000000004,-172.5419738232727
0.04725300000000004,-172.3707501750403
0.04825300000000004,-172.1994818898169
0.04925300000000004,-172.0281679781346
0.05025300000000004,-171.85680745111296
0.05125300000000004,-171.68539932047304
0.05225300000000004,-171.51394259855326
0.05325300000000004,-171.3424362983243
0.054253000000000044,-171.17087943340454
0.055253000000000045,-170.99927101807583
0.056253000000000046,-170.83567485890885
0.05725300000000005,-170.68333291838093
0.05825300000000005,-170.53813312814128
0.05925300000000005,-170.39648731477436
0.06025300000000005,-170.25660062611917
0.06125300000000005,-170.1175751416874
0.06225300000000005,-169.9789615300441
0.06325300000000005,-169.84053481322906
0.06425300000000005,-169.70218221908573
0.06525300000000005,-169.56384709295654
0.06625300000000005,-169.42550084636503
0.06725300000000005,-169.28712892776855
0.06825300000000005,-169.14872380612596
0.06925300000000005,-169.01028146176915
0.07025300000000005,-168.8717996313782
0.07125300000000005,-168.73327693023694
0.07225300000000005,-168.5947124132453
0.07325300000000005,-168.45610535536755
0.07425300000000006,-168.31745514182958
0.07525300000000006,-168.1787612132049
0.07625300000000006,-168.040023037953
0.07725300000000006,-167.90124009868785
0.07825300000000006,-167.76241188531299
0.07925300000000006,-167.6235378915919
0.08025300000000006,-167.48461761343538
0.08125300000000006,-167.34565054804852
0.08225300000000006,-167.20663619350748
0.08325300000000006,-167.0675740485509
0.08425300000000006,-166.92846361247905
0.08525300000000006,-166.78930438510702
0.08625300000000007,-166.6500958667444
0.08725300000000007,-166.51083755818883
0.08825300000000007,-166.37152896072627
0.08925300000000007,-166.23216957613442
0.09025300000000007,-166.09275890668843
0.09125300000000007,-165.95329645516688
0.09225300000000007,-165.8137817248588
0.09325300000000007,-165.67421421957056
0.09425300000000007,-165.53459344363324
0.09525300000000007,-165.39491890190982
0.09625300000000007,-165.23596029595254
0.09725300000000008,-165.06164750005027
0.09825300000000008,-164.88224529451375
0.09925300000000008,-164.70149938115415
0.10025300000000008,-164.5203458412576
0.10125300000000008,-164.33901801489984
0.10275300000000008,-164.06681334398738
0.10375300000000008,-163.8852145420831
0.10475300000000008,-163.70351374752425
0.10575300000000008,-163.52171098902596
0.10675300000000008,-163.33980575409495
0.10775300000000008,-163.15779726042558
0.10875300000000009,-162.97568459168414
0.10975300000000009,-162.79346676545242
0.11075300000000009,-162.61114276723362
0.11175300000000009,-162.42871156748086
0.11275300000000009,-162.24617213013218
0.11375300000000009,-162.0635234168973
0.11475300000000009,-161.88076438941897
0.11575300000000009,-161.6978940103712
0.11675300000000009,-161.5149112440259
0.1177530000000001,-161.33181505655392
0.1187530000000001,-161.14860441619308
0.1197530000000001,-160.96527829335008
0.1207530000000001,-160.78183566066966
0.1217530000000001,-160.5982754930871
0.1227530000000001,-160.41459676787304
0.1237530000000001,-160.2307984646746
0.1247530000000001,-160.04687956555455
0.1257530000000001,-159.86283905503004
0.1267530000000001,-159.6786759201111
0.1277530000000001,-159.49438915033952
