time,value
0.0,4.807983605865522e-13
0.0010130000000000004,6.973347291432997e-14
0.002037000000000001,7.498063219842153e-14
0.0030610000000000017,5.3095540914598225e-14
0.004085000000000002,5.9757517048257e-14
0.005109000000000002,6.316087784513552e-14
0.006133000000000003,3.69138548761873e-14
0.007157000000000004,1.1445313827471869e-13
0.008181000000000004,8.685993159042411e-14
0.009205000000000005,1.0343574975913215e-13
0.010229000000000005,8.627816789954466e-14
0.011253000000000006,6.427754663102382e-14
0.012253000000000007,1.4455231196415013e-13
0.013253000000000008,1.3090068536918806e-13
0.014253000000000009,1.1583454423424066e-13
0.01525300000000001,1.466716228369916e-13
0.01625300000000001,1.445918461445199e-13
0.01725300000000001,7.730196957185503e-14
0.018253000000000012,2.562893239087079e-13
0.019253000000000013,4.014411935588214e-14
0.020253000000000014,1.1871475440631647e-13
0.021253000000000015,3.0599791020306556e-13
0.022253000000000016,9.822740972919241e-14
0.023253000000000017,5.546340754139409e-14
0.024253000000000018,6.053739907364188e-14
0.02525300000000002,6.835388653865523e-14
0.02625300000000002,2.3754881043926636e-13
0.02725300000000002,4.9583230374625615e-14
0.02825300000000002,1.0655191287281427e-13
0.029253000000000022,3.766263997702136e-14
0.030253000000000023,2.8202602014922513e-14
0.031253000000000024,2.2792856506225037e-14
0.032253000000000025,7.930151756769149e-14
0.033253000000000026,5.709859754081601e-14
0.034253000000000026,4.7880618319788935e-14
0.03525300000000003,3.208583495390807e-14
0.03625300000000003,5.0560244104651046e-14
0.03725300000000003,4.2024575717916035e-14
0.03825300000000003,2.3268169992715778e-14
0.03925300000000003,2.615817150004167e-13
0.04025300000000003,2.1991331340742247e-13
0.04125300000000003,1.4762821411928203e-13
0.042253000000000034,1.1580160462309663e-13
0.043253000000000034,4.915198428530433e-14
0.044253000000000035,1.6009086453900758e-13
0.045253000000000036,1.9837377895916338e-14
0.04625300000000004,1.6731282299318908e-14
0.04725300000000004,1.1139002080847573e-13
0.04825300000000004,3.9506410577439603e-14
0.04925300000000004,1.349628535252368e-13
0.05025300000000004,1.2588754778310833e-13
0.05125300000000004,4.474726972755921e-14
0.05225300000000004,8.808816511296954e-14
0.05325300000000004,4.188827163037392e-14
0.054253000000000044,1.8273002924995807e-13
0.055253000000000045,7.243194138487434e-14
0.056253000000000046,1.3252600476921895e-13
0.05725300000000005,9.69092390938368e-14
0.05825300000000005,2.6626396651676016e-13
0.05925300000000005,1.0384438317657643e-13
0.06025300000000005,1.7122341265851654e-13
0.06125300000000005,1.822590155471132e-13
0.06225300000000005,1.5904747150780778e-13
0.06325300000000005,9.123596309665294e-14
0.06425300000000005,9.772716913831505e-14
0.06525300000000005,1.116667756936219e-13
0.06625300000000005,1.6540737123406089e-13
0.06725300000000005,1.255243124627337e-13
0.06825300000000005,3.5762263224775243e-14
0.06925300000000005,4.3373311931714344e-14
0.07025300000000005,6.893653757428192e-14
0.07125300000000005,8.478218168460996e-14
0.07225300000000005,5.672244742891134e-14
0.07325300000000005,2.7018019734902955e-13
0.07425300000000006,9.532171753745576e-14
0.07525300000000006,1.3866657978516348e-13
0.07625300000000006,4.600778822672366e-14
0.07725300000000006,1.3421224234272382e-13
0.07825300000000006,1.806578575484338e-13
0.07925300000000006,1.0920081358019172e-13
0.08025300000000006,1.6164236729417816e-13
0.08125300000000006,1.0216172808101995e-13
0.08225300000000006,1.8368858194291382e-13
0.08325300000000006,4.403272776971119e-14
0.08425300000000006,7.281024473958055e-14
0.08525300000000006,5.6368826643496585e-14
0.08625300000000007,6.98479759430308e-14
0.08725300000000007,1.2787768377696733e-13
0.08825300000000007,2.0738154731998874e-13
0.08925300000000007,8.892060300003583e-14
0.09025300000000007,1.2763444537396802e-13
0.09125300000000007,7.460653185050947e-14
0.09225300000000007,1.4758558448928634e-13
0.09325300000000007,2.566428556202063e-13
0.09425300000000007,2.8442222336795986e-13
0.09525300000000007,1.5370081006795774e-13
0.09625300000000007,2.385929116443601e-13
0.09725300000000008,1.3895227511086222e-13
0.09825300000000008,7.680819663737211e-14
0.09925300000000008,1.0119990811480653e-13
0.10025300000000008,5.108765322253372e-14
0.10125300000000008,2.3269359225019684e-13
0.10225300000000008,1.9041923952239778e-13
0.10325300000000008,1.2882885113413445e-13
0.10425300000000008,1.678307503500052e-13
0.10525300000000008,1.6263682689324844e-13
0.10625300000000008,3.47368392980174e-14
0.10725300000000008,8.208513689340849e-14
0.10825300000000009,3.6733043227822575e-13
0.10925300000000009,1.605248781465221e-13
0.11025300000000009,1.91269674256791e-13
0.11125300000000009,6.226685784408811e-14
0.11225300000000009,1.391973521559447e-13
0.11325300000000009,3.243951087188272e-13
0.11425300000000009,2.617763406651686e-13
0.11525300000000009,6.009543516681923e-14
0.11625300000000009,1.0118481552090461e-13
0.1172530000000001,1.4671903586081911e-13
0.1182530000000001,1.1216255007631335e-13
0.1192530000000001,1.775817526115696e-13
0.1202530000000001,2.1919322367203238e-13
0.1212530000000001,2.263995249031008e-13
0.1222530000000001,2.21569838114682e-13
0.1232530000000001,1.4238038633929686e-13
0.1242530000000001,9.408260843032654e-14
0.1252530000000001,2.206909848751714e-13
0.1262530000000001,1.5198668952915833e-13
0.1272530000000001,1.96787763163505e-13
0.1282530000000001,1.0486155425051454e-13
0.1292530000000001,2.7579631779196106e-13
0.1302530000000001,1.6403128775947238e-13
0.1312530000000001,1.6115359321366494e-13
0.1322530000000001,1.624581945621057e-13
0.1332530000000001,2.2210193646927966e-13
0.1342530000000001,2.7403095159511758e-14
0.1352530000000001,7.705692115523437e-14
0.1362530000000001,3.813354070020938e-14
0.1372530000000001,3.1149824929874444e-13
0.1382530000000001,1.716624752679385e-13
0.1392530000000001,7.362636087881166e-14
0.1402530000000001,1.9688663069929616e-13
0.1412530000000001,1.6492777048829414e-13
0.1422530000000001,1.6918568075807572e-13
0.1432530000000001,1.1535008092904693e-13
0.1442530000000001,1.6933479629950756e-13
0.1452530000000001,9.975870973368031e-14
0.1462530000000001,2.2681841254144423e-13
0.1472530000000001,2.8602835025542907e-13
0.1482530000000001,3.0147373870162697e-13
0.1492530000000001,1.6326505146431546e-13
0.1502530000000001,3.457743445355555e-13
0.1512530000000001,1.2444242708731448e-13
0.1522530000000001,3.3568966337678173e-13
0.1532530000000001,1.7787565434264852e-13
0.1542530000000001,1.1249187919329224e-13
0.1552530000000001,2.5085280114040695e-13
0.15625300000000011,8.402338082209886e-14
0.15725300000000011,2.0752908208109495e-13
0.15825300000000012,3.5487197728994806e-13
0.15925300000000012,1.664927084678665e-13
0.16025300000000012,2.2826989592327457e-13
0.16125300000000012,2.3659553927506605e-13
0.16225300000000012,1.769093035295697e-13
0.16325300000000012,1.3971993503748071e-13
0.16425300000000012,2.783142039822531e-13
0.16525300000000012,2.6257643828275176e-13
0.16625300000000012,1.9549130317117093e-13
0.16725300000000012,1.5485629240313861e-13
0.16825300000000012,2.546634490992291e-13
0.16925300000000013,1.7177594826879687e-13
0.17025300000000013,2.305157011549979e-13
0.17125300000000013,1.1052384258177104e-13
0.17225300000000013,9.211403387599486e-14
0.17325300000000013,1.7157130771930293e-13
0.17425300000000013,2.906089493045224e-13
0.17525300000000013,1.8878412402523488e-13
0.17625300000000013,1.411390272276221e-13
0.17725300000000013,1.7253691286559793e-13
0.17825300000000013,1.6172925343478705e-13
0.17925300000000013,3.5678323677981273e-13
0.18025300000000014,1.8390909485930777e-13
0.18125300000000014,6.778913273792424e-14
0.18225300000000014,2.0296950250752738e-13
0.18325300000000014,3.5496352485580067e-13
0.18425300000000014,3.420856518357924e-13
0.18525300000000014,1.7968372911668338e-13
0.18625300000000014,1.933802771358619e-13
0.18725300000000014,2.7668665124673005e-13
0.18825300000000014,1.7458351976418077e-13
0.18925300000000014,3.2478265463244505e-13
0.19025300000000014,2.522678932314742e-13
0.19125300000000015,2.0439513059935435e-13
0.19225300000000015,2.1802873373810703e-13
0.19325300000000015,2.719455512975194e-13
0.19425300000000015,1.3734216935032687e-13
0.19525300000000015,2.224489043218641e-13
0.19625300000000015,1.2203652087802162e-13
0.19725300000000015,2.443342811690334e-13
0.19825300000000015,3.204872413819076e-13
0.19925300000000015,2.873617494703197e-13
0.20025300000000015,2.4244405275774124e-13
0.20125300000000015,4.0031957596514803e-13
0.20225300000000015,2.56835336169281e-13
0.20325300000000016,2.613154472297245e-13
0.20425300000000016,2.5731909672842656e-13
0.20525300000000016,1.752892548326191e-13
0.20625300000000016,2.719091592793249e-13
0.20725300000000016,2.6358227720879814e-13
0.20825300000000016,1.0842966195839835e-13
0.20925300000000016,1.7147826685604584e-13
0.21025300000000016,2.1893306889057578e-13
0.21125300000000016,2.7719838765491284e-13
0.21225300000000016,2.475061859752191e-13
0.21325300000000016,2.813015578229833e-13
0.21425300000000017,2.9811351661519203e-13
0.21525300000000017,1.4920833865734894e-13
0.21625300000000017,2.745312694881091e-13
0.21725300000000017,3.0083411954049057e-13
0.21825300000000017,3.5657942805063337e-13
0.21925300000000017,2.964813252572093e-13
0.22025300000000017,1.9409493011864339e-13
0.22125300000000017,2.588289399667025e-13
0.22225300000000017,3.3704969369260944e-13
0.22325300000000017,4.469699996588965e-13
0.22425300000000017,3.312287953857221e-13
0.22525300000000018,3.1673064548374146e-13
0.22625300000000018,2.860797339238067e-13
0.22725300000000018,2.585818554014989e-13
0.22825300000000018,3.515823139019883e-13
0.22925300000000018,3.555293542795866e-13
0.23025300000000018,2.772751935614998e-13
0.23125300000000018,3.756234866105227e-13
0.23225300000000018,3.2507323712266205e-13
0.23325300000000018,2.10746423054207e-13
0.23425300000000018,2.6070064985671334e-13
0.23525300000000018,3.5701273208465894e-13
0.23625300000000019,4.0869545025652536e-13
0.23725300000000019,3.3046205879385035e-13
0.2382530000000002,2.9694044110362223e-13
0.2392530000000002,4.604456257403906e-13
0.2402530000000002,2.032393468482703e-13
0.2412530000000002,3.6722613367490317e-13
0.2422530000000002,2.982025020221247e-13
0.2432530000000002,2.7237867080095993e-13
0.2442530000000002,2.3581029522063065e-13
0.2452530000000002,1.9538907619151405e-13
0.2462530000000002,3.1943874757654916e-13
0.2472530000000002,2.150970857244121e-13
0.2482530000000002,3.231158096559685e-13
0.2492530000000002,1.840435246490813e-13
0.25025300000000017,1.7032181461283053e-13
0.25125300000000017,2.006931827405037e-13
0.25225300000000017,3.917756308481984e-13
0.2532530000000002,2.6181773027794665e-13
0.2542530000000002,3.3825220441557145e-13
0.2552530000000002,2.311506094927674e-13
0.2562530000000002,1.9291273224621818e-13
0.2572530000000002,2.722852710879384e-13
0.2582530000000002,2.2814348113335397e-13
0.2592530000000002,3.6476175003717865e-13
0.2602530000000002,2.347432524955462e-13
0.2612530000000002,2.7808616155198815e-13
0.2622530000000002,3.3537105842754914e-13
0.2632530000000002,4.795801534887248e-13
0.2642530000000002,3.4854025377512513e-13
0.2652530000000002,3.9213811022828926e-13
0.2662530000000002,2.2025874866778796e-13
0.2672530000000002,2.2886778212729925e-13
